Auftrag	Auftragsdatum	Kunde	Menge	Wert	Produkt	Bestellweg	Verkaeufergruppe	Werbeaktion	Interessengebiet	Kundenklasse	Kundentyp
auftrag1	2012-08-01	kunde1	1	39	produkt1	bstweg1	vkgrp1	werbung1	interesse1	kunkla1	kuntyp1
auftrag2	2012-08-01	kunde2	1	2.06	produkt2	bstweg1	vkgrp1	werbung1	interesse2	kunkla2	kuntyp1
auftrag3	2012-08-01	kunde3	1	4.2	produkt3	bstweg1	vkgrp1	werbung2	interesse3	kunkla3	kuntyp1
auftrag4	2012-08-01	kunde4	1	8.4	produkt4	bstweg1	vkgrp1	werbung3	interesse4	kunkla2	kuntyp1
auftrag5	2012-08-01	kunde5	1	4.2	produkt3	bstweg1	vkgrp1	werbung4	interesse3	kunkla4	kuntyp1
auftrag6	2012-08-01	kunde6	1	4.2	produkt3	bstweg1	vkgrp1	werbung5	interesse3	kunkla3	kuntyp1
auftrag7	2012-08-01	kunde7	3	13.87	produkt5	bstweg1	vkgrp1	werbung3	interesse5	kunkla5	kuntyp1
auftrag8	2012-08-01	kunde8	1	8.36	produkt6	bstweg1	vkgrp1	werbung3	interesse6	kunkla6	kuntyp1
auftrag8	2012-08-01	kunde8	1	16.76	produkt7	bstweg1	vkgrp1	werbung3	interesse7	kunkla6	kuntyp1
auftrag8	2012-08-01	kunde8	1	16.77	produkt8	bstweg1	vkgrp1	werbung3	interesse7	kunkla6	kuntyp1
auftrag9	2012-08-01	kunde8	1	12.52	produkt9	bstweg1	vkgrp1	werbung3	interesse8	kunkla6	kuntyp1
auftrag9	2012-08-01	kunde8	1	20.93	produkt10	bstweg1	vkgrp1	werbung3	interesse8	kunkla6	kuntyp1
auftrag9	2012-08-01	kunde8	1	20.92	produkt11	bstweg1	vkgrp1	werbung3	interesse8	kunkla6	kuntyp1
auftrag9	2012-08-01	kunde8	1	20.92	produkt12	bstweg1	vkgrp1	werbung3	interesse8	kunkla6	kuntyp1
auftrag10	2012-08-01	kunde9	2	8.4	produkt3	bstweg1	vkgrp1	werbung6	interesse3	kunkla7	kuntyp1
auftrag11	2012-08-01	kunde10	1	8.4	produkt13	bstweg1	vkgrp1	werbung1	interesse2	kunkla3	kuntyp1
auftrag12	2012-08-01	kunde11	1	8.4	produkt13	bstweg1	vkgrp1	werbung1	interesse2	kunkla3	kuntyp1
auftrag13	2012-08-01	kunde12	3	25.21	produkt14	bstweg1	vkgrp1	werbung7	interesse2	kunkla8	kuntyp1
auftrag14	2012-08-01	kunde13	2	25.04	produkt15	bstweg1	vkgrp1	werbung4	interesse9	kunkla2	kuntyp1
auftrag14	2012-08-01	kunde13	1	10	produkt16	bstweg1	vkgrp1	werbung4	interesse10	kunkla2	kuntyp1
auftrag14	2012-08-01	kunde13	3	12.61	produkt3	bstweg1	vkgrp1	werbung4	interesse3	kunkla2	kuntyp1
auftrag15	2012-08-01	kunde14	1	11.72	produkt17	bstweg1	vkgrp1	werbung1	interesse2	kunkla9	kuntyp1
auftrag16	2012-08-01	kunde15	1	4.2	produkt3	bstweg1	vkgrp1	werbung7	interesse3	kunkla2	kuntyp1
auftrag17	2012-08-01	kunde16	1	12.61	produkt18	bstweg1	vkgrp1	werbung7	interesse11	kunkla3	kuntyp1
auftrag18	2012-08-01	kunde17	1	4.2	produkt3	bstweg1	vkgrp1	werbung8	interesse3	kunkla10	kuntyp1
auftrag19	2012-08-01	kunde16	2	25.21	produkt18	bstweg1	vkgrp1	werbung7	interesse11	kunkla3	kuntyp1
auftrag20	2012-08-01	kunde18	1	10	produkt16	bstweg1	vkgrp1	werbung7	interesse10	kunkla3	kuntyp1
auftrag21	2012-08-01	kunde2	1	8.4	produkt19	bstweg1	vkgrp1	werbung1	interesse2	kunkla2	kuntyp1
auftrag22	2012-08-01	kunde19	1	8.4	produkt20	bstweg1	vkgrp1	werbung6	interesse2	kunkla3	kuntyp1
auftrag23	2012-08-01	kunde20	1	8.4	produkt20	bstweg1	vkgrp1	werbung1	interesse2	kunkla3	kuntyp1
auftrag23	2012-08-01	kunde20	1	8.4	produkt21	bstweg1	vkgrp1	werbung1	interesse2	kunkla3	kuntyp1
auftrag23	2012-08-01	kunde20	1	8.4	produkt22	bstweg1	vkgrp1	werbung1	interesse2	kunkla3	kuntyp1
auftrag23	2012-08-01	kunde20	1	8.41	produkt23	bstweg1	vkgrp1	werbung1	interesse2	kunkla3	kuntyp1
auftrag24	2012-08-01	kunde21	1	10	produkt24	bstweg1	vkgrp1	werbung6	interesse12	kunkla11	kuntyp1
auftrag25	2012-08-01	kunde22	1	12.52	produkt15	bstweg1	vkgrp1	werbung1	interesse9	kunkla2	kuntyp1
auftrag26	2012-08-01	kunde23	1	8.4	produkt13	bstweg1	vkgrp1	werbung7	interesse2	kunkla11	kuntyp1
auftrag27	2012-08-01	kunde24	1	3.32	produkt25	bstweg1	vkgrp1	werbung1	interesse2	kunkla12	kuntyp1
auftrag28	2012-08-01	kunde25	1	8.36	produkt26	bstweg1	vkgrp1	werbung6	interesse5	kunkla13	kuntyp1
auftrag29	2012-08-01	kunde26	1	12.52	produkt15	bstweg1	vkgrp1	werbung1	interesse9	kunkla14	kuntyp1
auftrag30	2012-08-01	kunde27	1	16.72	produkt27	bstweg2	vkgrp2	werbung9	interesse9	kunkla15	kuntyp1
